"COL","ROW","GhostSeverity","Key1","Key2","Key3","GhostK","ActualK","ComputedK"
0, 4, 2, 110, 113, 47,"[{Esc}, {F2}, {X}]","[]","[{L-Shift}]"
0, 4, 2, 110, 115, 49,"[{Esc}, {F4}, {V}]","[]","[{L-Shift}]"
0, 4, 2, 110, 117, 51,"[{Esc}, {F6}, {N}]","[]","[{L-Shift}]"
0, 4, 2, 110, 118, 52,"[{Esc}, {F7}, {M}]","[]","[{L-Shift}]"
0, 4, 2, 119, 124, 83,"[{F8}, {PrntScrn}, {UpArrow}]","[]","[{,   <}]"
0, 4, 2, 119, 93, 126,"[{F8}, {KP 1}, {PauseBrk}]","[]","[{,   <}]"
0, 4, 2, 12, 54, 11,"[{-   _}, {.   >}, {0   )}]","[]","[{,   <}]"
0, 4, 2, 2, 46, 1,"[{1   !}, {Z}, {`   ~}]","[]","[{L-Shift}]"
0, 4, 2, 26, 85, 83,"[{P}, {PageUp}, {UpArrow}]","[]","[{,   <}]"
0, 4, 2, 3, 47, 1,"[{2   @}, {X}, {`   ~}]","[]","[{L-Shift}]"
0, 4, 2, 30, 32, 47,"[{CapsLck}, {S}, {X}]","[]","[{L-Shift}]"
0, 4, 2, 30, 34, 49,"[{CapsLck}, {F}, {V}]","[]","[{L-Shift}]"
0, 4, 2, 30, 36, 51,"[{CapsLck}, {H}, {N}]","[]","[{L-Shift}]"
0, 4, 2, 30, 37, 52,"[{CapsLck}, {J}, {M}]","[]","[{L-Shift}]"
0, 4, 2, 31, 30, 46,"[{A}, {CapsLck}, {Z}]","[]","[{L-Shift}]"
0, 4, 2, 39, 86, 83,"[{L}, {PageDn}, {UpArrow}]","[]","[{,   <}]"
0, 4, 2, 41, 55, 39,"[{'  "}, {/ ?}, {L}]","[]","[{,   <}]"
0, 4, 2, 43, 39, 57,"[{Enter}, {L}, {R-Shift}]","[]","[{,   <}]"
0, 4, 2, 48, 19, 16,"[{C}, {E}, {Tab}]","[]","[{L-Shift}]"
0, 4, 2, 48, 30, 33,"[{C}, {CapsLck}, {D}]","[]","[{L-Shift}]"
0, 4, 2, 5, 49, 1,"[{4   $}, {V}, {`   ~}]","[]","[{L-Shift}]"
0, 4, 2, 50, 30, 35,"[{B}, {CapsLck}, {G}]","[]","[{L-Shift}]"
0, 4, 2, 51, 16, 22,"[{N}, {Tab}, {Y}]","[]","[{L-Shift}]"
