time,eric_20140130_raw2_log
82960,350.0
83096,336.0
83232,352.0
83368,392.0
83504,407.0
83640,333.0
83776,339.0
83912,333.0
84048,343.0
84184,358.0
84320,349.0
84456,335.0
84592,336.0
84728,348.0
84864,346.0
85000,347.0
85136,347.0
85272,353.0
85408,353.0
85544,350.0
85680,349.0
85816,356.0
85952,412.0
86088,383.0
86224,339.0
86360,340.0
86496,328.0
86632,348.0
86768,359.0
86904,340.0
87040,337.0
87176,338.0
87312,339.0
87448,346.0
87584,348.0
87720,351.0
87856,357.0
87992,349.0
88128,350.0
88264,341.0
88400,349.0
88536,414.0
88672,388.0
88808,341.0
88944,341.0
89080,326.0
89216,340.0
89352,356.0
89488,338.0
89624,346.0
89760,337.0
89896,342.0
90032,345.0
90168,351.0
90304,346.0
90440,352.0
90576,356.0
90712,347.0
90848,338.0
90984,354.0
91120,401.0
91256,400.0
91392,344.0
91528,340.0
91664,331.0
91800,348.0
91936,354.0
92072,343.0
92208,334.0
92344,336.0
92480,348.0
92616,349.0
92752,347.0
92888,350.0
93024,356.0
93160,354.0
93296,343.0
93432,345.0
93568,350.0
93704,404.0
93840,403.0
93976,343.0
94112,349.0
94248,323.0
94384,339.0
94520,358.0
94656,333.0
94792,336.0
94928,341.0
95064,345.0
95200,348.0
95336,351.0
95472,352.0
95608,352.0
95744,349.0
95880,344.0
96016,342.0
96152,341.0
96288,383.0
96424,428.0
96560,353.0
96696,345.0
96832,340.0
96968,323.0
97104,355.0
97240,336.0
97376,336.0
97512,339.0
97648,339.0
97784,350.0
97920,351.0
98056,349.0
98192,351.0
98328,346.0
98464,348.0
98600,339.0
98736,343.0
98872,366.0
99008,423.0
99144,380.0
99280,341.0
99416,344.0
99552,326.0
99688,352.0
99824,343.0
99960,342.0
100096,331.0
100232,347.0
100368,351.0
100504,347.0
100640,354.0
100776,347.0
100912,353.0
101048,347.0
101184,341.0
101320,344.0
101456,365.0
101592,428.0
101728,378.0
101864,336.0
102000,347.0
102136,326.0
102272,346.0
102408,348.0
102544,338.0
102680,334.0
102816,346.0
102952,349.0
103088,353.0
103224,354.0
103360,347.0
103496,349.0
103632,347.0
103768,344.0
103904,338.0
104040,355.0
104176,399.0
104312,416.0
104448,340.0
104584,338.0
104720,327.0
104856,330.0
104992,351.0
105128,341.0
105264,338.0
105400,346.0
105536,349.0
105672,351.0
105808,351.0
105944,348.0
106080,344.0
106216,347.0
106352,345.0
106488,342.0
106624,347.0
106760,364.0
106896,431.0
107032,377.0
107168,340.0
107304,342.0
107440,317.0
107576,343.0
107712,342.0
107848,343.0
107984,345.0
108120,343.0
108256,355.0
108392,348.0
108528,349.0
108664,343.0
108800,343.0
108936,348.0
109072,344.0
109208,344.0
109344,355.0
109480,383.0
109616,432.0
109752,357.0
109888,332.0
110024,338.0
110160,317.0
110296,348.0
110432,344.0
110568,341.0
110704,341.0
110840,340.0
110976,348.0
111112,338.0
111248,344.0
111384,334.0
111520,345.0
111656,356.0
111792,337.0
111928,268.0
112064,338.0
112200,413.0
112336,452.0
112472,321.0
112608,373.0
112744,245.0
112880,306.0
113016,293.0
113152,312.0
113288,314.0
113424,321.0
113560,312.0
113696,282.0
113832,307.0
113968,343.0
114104,368.0
114240,357.0
114376,322.0
114512,344.0
114648,405.0
114784,456.0
114920,420.0
115056,330.0
115192,314.0
115328,286.0
115464,346.0
115600,367.0
115736,367.0
115872,395.0
116008,394.0
116144,333.0
116280,404.0
116416,352.0
116552,343.0
116688,391.0
116824,346.0
116960,374.0
117096,366.0
117232,483.0
117368,524.0
117504,332.0
117640,370.0
117776,378.0
117912,327.0
118048,381.0
118184,349.0
118320,360.0
118456,376.0
118592,364.0
118728,344.0
118864,354.0
119000,349.0
119136,371.0
119272,337.0
119408,348.0
119544,355.0
119680,364.0
119816,429.0
119952,401.0
120088,356.0
120224,342.0
120360,325.0
120496,372.0
120632,403.0
120768,338.0
120904,310.0
121040,339.0
121176,375.0
121312,352.0
121448,353.0
121584,324.0
121720,350.0
121856,358.0
121992,331.0
122128,349.0
122264,377.0
122400,443.0
122536,324.0
122672,318.0
122808,320.0
122944,284.0
123080,335.0
123216,314.0
123352,310.0
123488,323.0
123624,311.0
123760,309.0
123896,335.0
124032,366.0
124168,337.0
124304,338.0
124440,325.0
124576,322.0
124712,321.0
124848,363.0
124984,466.0
125120,320.0
125256,313.0
125392,307.0
125528,343.0
125664,354.0
125800,309.0
125936,342.0
126072,353.0
126208,352.0
126344,357.0
126480,359.0
126616,361.0
126752,372.0
126888,338.0
127024,344.0
127160,368.0
127296,396.0
127432,462.0
127568,334.0
127704,347.0
127840,337.0
127976,318.0
128112,351.0
128248,351.0
128384,333.0
128520,335.0
128656,351.0
128792,358.0
128928,351.0
129064,373.0
129200,331.0
129336,344.0
129472,344.0
129608,362.0
129744,369.0
129880,451.0
130016,382.0
130152,337.0
130288,340.0
130424,305.0
130560,343.0
130696,350.0
130832,330.0
130968,334.0
131104,339.0
131240,342.0
131376,365.0
131512,339.0
131648,326.0
131784,347.0
131920,340.0
132056,343.0
132192,347.0
132328,384.0
132464,460.0
132600,354.0
132736,340.0
132872,337.0
133008,327.0
133144,352.0
133280,346.0
133416,322.0
133552,346.0
133688,345.0
133824,348.0
133960,351.0
134096,346.0
134232,332.0
134368,353.0
134504,345.0
134640,350.0
134776,350.0
134912,404.0
135048,454.0
135184,346.0
135320,324.0
135456,307.0
135592,273.0
135728,351.0
135864,354.0
136000,336.0
136136,331.0
136272,336.0
136408,349.0
136544,346.0
136680,344.0
136816,363.0
136952,346.0
137088,351.0
137224,353.0
137360,361.0
137496,368.0
137632,444.0
137768,378.0
137904,327.0
138040,329.0
138176,334.0
138312,366.0
138448,338.0
138584,336.0
138720,340.0
138856,351.0
138992,349.0
139128,339.0
139264,350.0
139400,339.0
139536,341.0
139672,340.0
139808,345.0
139944,355.0
140080,372.0
